,text,embeddings,distances
17,February 3 – Islamic State leader Abu Ibrahim al-Hashimi al-Qurashi is killed in Atme during a counter-terrorism raid by U.S. special forces in north-western Syria.,"[-0.03842128  0.00738368 -0.00953344 ... -0.00049864  0.0186879
 -0.00049293]",0.2443146159182141
74,"April 28 – The Parliament of Montenegro elects a new government with Dritan Abazović as prime minister, following a motion of no confidence against the government of Zdravko Krivokapić.","[ 0.00272732 -0.00056905 -0.03269612 ... -0.01168171 -0.01211859
  0.00102017]",0.2477431128984264
87,"May 28 – Spanish club Real Madrid beat English club Liverpool 1–0 to win the UEFA Champions League final played at the Stade de France in Paris, France.","[-6.89590536e-03 -9.51028708e-03 -3.58175021e-05 ... -1.49537576e-02
 -2.21180473e-03  3.06866219e-04]",0.2481473685398324
160,"November 2–November 3 – Tigray War: The Ethiopian government and the TPLF agree to a formal cessation of hostilities, signing a peace agreement in Pretoria, South Africa.","[-0.0173599  -0.03539247  0.00440142 ... -0.00245619  0.01313635
 -0.00319839]",0.2484304944044953
85,May 24 – Uvalde school shooting: 18-year-old Salvador Ramos fatally shoots 19 students and two teachers at Robb Elementary School.,"[-0.02414586 -0.00219099 -0.00513373 ... -0.00392258 -0.00054253
  0.01048591]",0.2486050957735313
119,August 17 – Turkey and Israel agree to restore full diplomatic relations after a period of tensions.,"[-0.01070313 -0.01431413 -0.00367595 ...  0.01588583  0.00655956
 -0.0212244 ]",0.2489429992424509
89,"June 5 – At least 50 people are killed in a dual mass shooting-bomb attack in Owo, Nigeria.","[-0.01835582 -0.00360377 -0.01245757 ... -0.00165106  0.01889494
 -0.004252  ]",0.250166447090824
129,"September 11 – The 2022 Swedish general election is held to elect all 349 seats of the Riksdag. Prime Minister Magdalena Andersson resigns after her centre-left bloc narrowly loses to a bloc of right-wing parties, 176 seats to 173; Andersson is succeeded as prime minister by Ulf Kristersson in October.","[-0.01138688 -0.03255271 -0.00758032 ... -0.01499    -0.00216581
 -0.00625458]",0.2505841520690502
20,"February 5 – Cyclone Batsirai kills a total of 123 people across Madagascar, Mauritius, and Réunion two weeks after Tropical Storm Ana killed 115 people in the same region.","[-0.02133778 -0.0040466   0.00193504 ...  0.00388643 -0.01151874
 -0.01534961]",0.250997892480252
181,"December 24 – 2022 Fijian general election: The Parliament of Fiji elects Sitiveni Rabuka as Prime Minister of Fiji, defeating incumbent Prime Minister Frank Bainimarama after a contentious election.","[-0.01160565 -0.00925368 -0.02326271 ... -0.00428625  0.00111012
  0.00264276]",0.2514176405356355
96,"June 27 – 53 migrants from Mexico, Honduras, Guatemala, and El Salvador are found dead in a tractor trailer in San Antonio, Texas, United States.","[ 0.00024027 -0.01002631  0.0089207  ... -0.00282879  0.0060777
 -0.00027068]",0.2515601461797611
92,"June 19 – The second round of the 2022 Colombian presidential election is held, and former guerrilla fighter for the 19th of April Movement and incumbent senator, Gustavo Petro, defeats businessman and former mayor of Bucaramanga, Rodolfo Hernández Suárez.","[-0.0316311  -0.01056579  0.01657119 ... -0.00407983  0.00354624
  0.01356187]",0.2526736421771189
117,"August 10 – Spanish club Real Madrid beat German club Eintracht Frankfurt 2–0 to win the 2022 UEFA Super Cup played at the Olympic Stadium in Helsinki, Finland.","[-0.00763646 -0.01231999  0.00306874 ... -0.01762756  0.0023675
 -0.00997179]",0.2530524625370808
133,"September 16 – Protests erupt in Iran following the death of Mahsa Amini in the custody of the country's ""morality police"".","[-0.02156854 -0.00535316 -0.00624968 ... -0.00358285 -0.0009014
 -0.01151838]",0.2539669170046441
11,"January 15 – A large eruption of Hunga Tonga–Hunga Ha'apai, a submarine volcano in Tonga, triggers tsunami warnings in Australia, Canada, Chile, Fiji, Japan, New Zealand, Samoa, and the United States.","[-0.00632138 -0.01725757  0.00974733 ...  0.01385719  0.02136104
  0.00534665]",0.2544253360325876
118,"August 12 – Indian-born British-American novelist Salman Rushdie is stabbed multiple times as he is about to give a public lecture at the Chautauqua Institution in Chautauqua, New York, United States.","[-0.01810703  0.00177453 -0.00640068 ... -0.02826208  0.01516089
 -0.00331278]",0.2545632362494029
141,"September 27–September 30 – Hurricane Ian impacts Cuba and the United States, causing catastrophic damage to both nations, killing at least 157 people, 16 missing, and leaving millions without power, including the entire nation of Cuba.","[-0.02687436 -0.01809001  0.0071552  ... -0.01462319  0.00076896
 -0.01842887]",0.2553031944389424
